β,peak_I,final_R
0.1,10.0,82.8346077376386
0.15,69.72453424436924,468.15026192365434
0.2,158.44052910186585,775.6937477198223
0.25,237.51349172628116,888.4588492166454
0.3,303.7911729316085,939.3377286816511
0.35,359.1974669288328,965.5490221776463
0.4,405.88932960488523,979.9346752821523
0.45,445.7234947189244,988.1218202098801
0.5,479.9904192213941,992.882234773908
0.55,510.02316630347013,995.6913937692677
0.6,535.8679364619226,997.367422742482
0.65,559.2281029898776,998.3733287437936
0.7,580.5617543782563,998.9808136395332
0.75,598.6544048941029,999.3486472458
0.8,616.1763120356663,999.5726049195463
