t,S,I,R
0.0,990,10,0
0.1121344819394129,989,11,0
0.25089144037070427,988,12,0
0.31547802999170177,987,13,0
0.6236334458881521,986,14,0
0.6621152171437426,985,15,0
0.6848642392004751,984,16,0
0.7600453990628192,983,17,0
0.8141262117340131,982,18,0
0.8597253437444837,981,19,0
1.1817347960277345,980,20,0
1.2064691477128042,979,21,0
1.207247290828481,978,22,0
1.2857161102089618,977,23,0
1.3820983952787693,976,24,0
1.4099220895802336,975,25,0
1.4163730401381083,974,26,0
1.4521937670536451,973,27,0
1.463807410202788,972,28,0
1.7013700981489328,971,29,0
1.727507958427731,970,30,0
1.8411658387478125,969,31,0
1.847145662334615,968,32,0
1.8647391529006085,967,33,0
1.8965467724196425,966,34,0
1.9622132262631509,965,35,0
1.9643334520744486,964,36,0
1.9705906467131404,963,37,0
1.9748320184653518,962,38,0
2.015457060790466,961,39,0
2.0173530424174007,960,40,0
2.0409852642977815,959,41,0
2.1510267435224066,958,42,0
2.332272745035282,957,43,0
2.3452176164879774,956,44,0
2.4184490857908534,955,45,0
2.4330405062666713,954,46,0
2.777778677921145,953,47,0
2.8082600873460986,952,48,0
2.8108799285436024,951,49,0
2.86776671369143,950,50,0
2.919128835351739,949,51,0
3.0467723020128266,948,52,0
3.049565389399418,947,53,0
3.055818585526963,946,54,0
3.0850016556250033,945,55,0
3.0944719321576795,944,56,0
3.186053486622506,943,57,0
3.2077431511796957,942,58,0
3.209518374649067,941,59,0
3.248685830789412,940,60,0
3.283911166892002,939,61,0
3.306612109150608,938,62,0
3.372082627914767,937,63,0
3.376430658508719,936,64,0
3.4182770217659297,935,65,0
3.578000392853407,934,66,0
3.6117765097834273,933,67,0
3.6569419745242873,932,68,0
3.7051302434802253,931,69,0
3.7763821752156526,930,70,0
3.7993071750940173,929,71,0
3.8304058355809905,928,72,0
3.8339601577608513,927,73,0
3.8611289594658214,926,74,0
3.9024028223237104,925,75,0
3.9127180009371,924,76,0
3.9153232864415783,923,77,0
3.9252849862496233,922,78,0
3.958349155580668,921,79,0
3.971194994997244,920,80,0
4.0,920,79,1
4.0,920,78,2
4.0,920,77,3
4.0,920,76,4
4.0,920,75,5
4.0,920,74,6
4.0,920,73,7
4.0,920,72,8
4.0,920,71,9
4.0,920,70,10
4.010720539775614,919,71,10
4.0577412826872346,918,72,10
4.112134481939413,918,71,11
4.127733068828283,917,72,11
4.144630542935853,916,73,11
4.152668093168381,915,74,11
4.166181943017876,914,75,11
4.175752281711818,913,76,11
4.211522929396689,912,77,11
4.244334456572277,911,78,11
4.249220556196008,910,79,11
4.2508914403707045,910,78,12
4.272741227690017,909,79,12
4.275748210077147,908,80,12
4.311540483612273,907,81,12
4.315478029991702,907,80,13
4.364253026197087,906,81,13
4.365352003251996,905,82,13
4.395308309387775,904,83,13
4.408228671743099,903,84,13
4.412826713255044,902,85,13
4.445220252503481,901,86,13
4.497532853240006,900,87,13
4.503677237445239,899,88,13
4.526513311247228,898,89,13
4.56287137395443,897,90,13
4.572555837407677,896,91,13
4.572878596843089,895,92,13
4.587939711195827,894,93,13
4.620008272841804,893,94,13
4.623633445888152,893,93,14
4.662115217143743,893,92,15
4.672728103747591,892,93,15
4.684864239200476,892,92,16
4.688402255225623,891,93,16
4.697835130670021,890,94,16
4.7001389404572596,889,95,16
4.704309898113541,888,96,16
4.7279490547616945,887,97,16
4.744135380248414,886,98,16
4.756151900232832,885,99,16
4.760045399062819,885,98,17
4.765805715707124,884,99,17
4.814126211734013,884,98,18
4.818046641920771,883,99,18
4.82320760484118,882,100,18
4.840597518679352,881,101,18
4.859725343744484,881,100,19
4.880050779839415,880,101,19
4.949002451416005,879,102,19
4.950993472672524,878,103,19
4.958199805160371,877,104,19
4.958603410263768,876,105,19
4.9628572003370515,875,106,19
4.9921073192973955,874,107,19
5.06172544445654,873,108,19
5.094321360407784,872,109,19
5.100135516691404,871,110,19
5.1811229086453885,870,111,19
5.181734796027735,870,110,20
5.206469147712804,870,109,21
5.207247290828481,870,108,22
5.263270101898575,869,109,22
5.285716110208962,869,108,23
5.299530872917528,868,109,23
5.309640379369713,867,110,23
5.313078955284655,866,111,23
5.349827006305015,865,112,23
5.382098395278769,865,111,24
5.386387451552884,864,112,24
5.389835065920045,863,113,24
5.399564326742045,862,114,24
5.409922089580234,862,113,25
5.416373040138108,862,112,26
5.418916709044841,861,113,26
5.423889562458686,860,114,26
5.444466071339886,859,115,26
5.445012021392118,858,116,26
5.449981301691755,857,117,26
5.452193767053645,857,116,27
5.453829777288601,856,117,27
5.463807410202788,856,116,28
5.486556925623279,855,117,28
5.494017137146627,854,118,28
5.511660624678202,853,119,28
5.5142756483594315,852,120,28
5.5172663650389016,851,121,28
5.533318687755054,850,122,28
5.555353794886971,849,123,28
5.593491585213238,848,124,28
5.599016346030489,847,125,28
5.6022734141259924,846,126,28
5.626914439099103,845,127,28
5.634421815508171,844,128,28
5.642369952935227,843,129,28
